CheckpointID,SimulationID,Zone,Clock.Today,Sorghum.Grain.Wt,Sorghum.AboveGround.Wt,Sorghum.Leaf.LAI
1,1,Paddock,1989-10-02 00:00:00,876.1889472896142,1641.103668761658,3.242648610506282
1,1,Paddock,1990-09-25 00:00:00,440.01852811774825,1214.5210593999354,2.052306844744653
1,1,Paddock,1991-09-10 00:00:00,523.9161290215778,1267.2232593719373,1.9988152846682317
1,1,Paddock,1993-10-24 00:00:00,712.1912064545777,1388.6305502331252,2.469953274953207
1,1,Paddock,1994-11-02 00:00:00,679.5053307064566,1498.5821601393886,2.297097479051326
1,1,Paddock,1995-09-29 00:00:00,633.8044704255345,1425.4065065191671,2.1876170816058536
1,1,Paddock,1996-10-16 00:00:00,724.5059702459365,1571.725397586854,2.217263274235488
1,1,Paddock,1997-10-06 00:00:00,673.1576148465618,1469.4259051020485,2.2870196073647433
1,1,Paddock,1998-09-26 00:00:00,710.5588222805122,1439.1788755388484,2.182819059153249
1,1,Paddock,1999-09-26 00:00:00,895.6021657575463,1649.4347331325648,2.517482921907445
1,1,Paddock,2001-09-30 00:00:00,635.954326440251,1354.4681562830879,2.0048602933546946
1,1,Paddock,2002-09-18 00:00:00,916.5834981527455,1660.6042089340249,2.814623617057535
1,1,Paddock,2004-10-23 00:00:00,665.6959489800811,1525.7632043489173,2.0942381988363397
1,1,Paddock,2005-09-19 00:00:00,977.4549843153816,1835.591754312491,2.729512382429453
1,1,Paddock,2007-09-28 00:00:00,997.6797786599377,1844.8177370248209,3.3907069951344173
1,1,Paddock,2008-10-07 00:00:00,802.8092764786942,1591.1632228398673,2.2149635543827424
1,1,Paddock,2010-09-18 00:00:00,533.2901298815532,1294.893199452248,2.163620204432645
1,1,Paddock,2011-10-03 00:00:00,876.6835615693464,1590.0608106793377,2.499927170063397
1,1,Paddock,2013-09-29 00:00:00,694.0958968587893,1538.4242464790973,2.0551153581982993
1,1,Paddock,2014-10-24 00:00:00,827.2452053759712,1688.5760314519575,3.16224854982527
1,1,Paddock,2015-10-09 00:00:00,885.6346896659829,1714.5043762064474,2.850326422943124
1,1,Paddock,2016-09-24 00:00:00,852.1942666529176,1687.2036594252875,3.4868602993785034
1,1,Paddock,2017-09-28 00:00:00,928.2474024784372,1799.7060702160497,2.6773648918555137
1,1,Paddock,2018-09-24 00:00:00,742.3309046503515,1594.5585317194764,2.1874843516641023
1,1,Paddock,2019-09-27 00:00:00,770.1122393055664,1621.8965888943173,2.1016271853811945
1,1,Paddock,2020-09-25 00:00:00,804.8911937435123,1580.3560141957105,2.101985178013241
1,1,Paddock,2021-09-19 00:00:00,931.1115447565752,1770.7443135212486,2.8475886572414897
1,1,Paddock,2022-09-22 00:00:00,862.9283469319864,1698.6143267397706,2.5956912029839856
1,1,Paddock,2023-09-26 00:00:00,852.5009145527682,1729.679379456828,2.5588716473669946
1,1,Paddock,2024-09-27 00:00:00,692.2874243395523,1506.265630893924,1.4420745335438399
